dim_1,dim_2,ava_s_1,ava_s_2
0.0,0.0,0.0,1.0
7.0,0.0,78.0,0.0
6.0,0.0,30.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,6.0
0.0,0.0,2.0,0.0
0.0,2.0,3.0,4.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,4.0,2.0,26.0
0.0,0.0,0.0,1.0
3.0,0.0,12.0,0.0
0.0,0.0,2.0,2.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,4.0
0.0,0.0,10.0,1.0
4.0,0.0,22.0,0.0
0.0,0.0,0.0,2.0
0.0,0.0,2.0,2.0
0.0,1.0,0.0,6.0
2.0,0.0,10.0,0.0
0.0,0.0,2.0,2.0
0.0,0.0,0.0,0.0
0.0,5.0,1.0,52.0
0.0,4.0,0.0,34.0
2.0,3.0,15.0,22.0
0.0,0.0,4.0,0.0
0.0,0.0,4.0,3.0
0.0,0.0,0.0,2.0
0.0,2.0,2.0,11.0
0.0,0.0,0.0,0.0
8.0,0.0,72.0,5.0
0.0,0.0,0.0,0.0
1.0,0.0,7.0,2.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
2.0,0.0,9.0,0.0
0.0,2.0,1.0,22.0
0.0,0.0,0.0,3.0
0.0,0.0,2.0,4.0
0.0,0.0,2.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,2.0
3.0,0.0,16.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,4.0
0.0,0.0,0.0,0.0
0.0,1.0,7.0,19.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,3.0,2.0
0.0,0.0,0.0,0.0
0.0,3.0,5.0,15.0
0.0,4.0,0.0,51.0
5.0,0.0,40.0,0.0
0.0,0.0,0.0,3.0
0.0,0.0,2.0,1.0
3.0,0.0,16.0,0.0
0.0,0.0,0.0,4.0
3.0,0.0,11.0,3.0
0.0,0.0,0.0,1.0
0.0,0.0,5.0,0.0
0.0,0.0,0.0,3.0
3.0,0.0,13.0,0.0
0.0,0.0,4.0,1.0
0.0,0.0,7.0,0.0
2.0,5.0,12.0,18.0
0.0,0.0,2.0,2.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
9.0,0.0,85.0,3.0
0.0,0.0,0.0,0.0
0.0,5.0,6.0,42.0
0.0,0.0,0.0,0.0
1.0,0.0,9.0,3.0
7.0,0.0,170.0,0.0
3.0,6.0,18.0,98.0
0.0,0.0,0.0,3.0
1.0,0.0,4.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,0.0,3.0
4.0,0.0,41.0,5.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
0.0,1.0,1.0,9.0
0.0,0.0,0.0,0.0
3.0,8.0,19.0,142.0
0.0,1.0,3.0,8.0
0.0,0.0,0.0,1.0
4.0,0.0,10.0,0.0
0.0,9.0,3.0,56.0
0.0,0.0,0.0,1.0
0.0,0.0,2.0,0.0
0.0,0.0,0.0,2.0
5.0,0.0,14.0,2.0
0.0,0.0,0.0,2.0
5.0,0.0,73.0,1.0
0.0,0.0,7.0,0.0
0.0,2.0,0.0,17.0
0.0,3.0,2.0,17.0
0.0,0.0,0.0,0.0
0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0
5.0,0.0,34.0,3.0
0.0,0.0,2.0,0.0
0.0,2.0,0.0,7.0
0.0,2.0,6.0,15.0
8.0,0.0,69.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
7.0,2.0,79.0,8.0
0.0,0.0,0.0,0.0
0.0,3.0,1.0,13.0
0.0,0.0,0.0,0.0
6.0,0.0,53.0,3.0
3.0,0.0,24.0,1.0
0.0,0.0,1.0,0.0
0.0,2.0,0.0,3.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
4.0,0.0,30.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,6.0
2.0,0.0,4.0,0.0
0.0,8.0,0.0,45.0
7.0,0.0,31.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
3.0,0.0,14.0,2.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,1.0
0.0,0.0,6.0,0.0
0.0,0.0,0.0,5.0
0.0,1.0,6.0,11.0
0.0,5.0,0.0,72.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
7.0,1.0,81.0,6.0
0.0,0.0,5.0,1.0
8.0,0.0,106.0,0.0
0.0,0.0,1.0,2.0
0.0,0.0,0.0,0.0
0.0,3.0,2.0,16.0
0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0
0.0,0.0,5.0,0.0
0.0,1.0,0.0,8.0
0.0,0.0,2.0,5.0
0.0,6.0,0.0,104.0
0.0,0.0,1.0,0.0
0.0,2.0,0.0,21.0
1.0,0.0,5.0,2.0
0.0,0.0,3.0,0.0
0.0,1.0,0.0,6.0
0.0,0.0,2.0,0.0
3.0,4.0,22.0,11.0
0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,2.0
2.0,0.0,9.0,3.0
0.0,0.0,0.0,0.0
0.0,1.0,1.0,5.0
0.0,0.0,0.0,0.0
4.0,0.0,23.0,3.0
0.0,5.0,0.0,70.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
1.0,2.0,4.0,11.0
0.0,0.0,0.0,0.0
2.0,4.0,7.0,26.0
14.0,0.0,87.0,2.0
4.0,0.0,25.0,0.0
0.0,0.0,0.0,6.0
0.0,0.0,1.0,5.0
0.0,0.0,0.0,0.0
0.0,4.0,1.0,20.0
0.0,0.0,0.0,0.0
0.0,1.0,2.0,3.0
0.0,0.0,3.0,1.0
0.0,0.0,0.0,0.0
1.0,3.0,13.0,15.0
0.0,0.0,0.0,6.0
0.0,0.0,5.0,2.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,8.0,1.0,123.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
3.0,3.0,14.0,17.0
0.0,0.0,0.0,0.0
12.0,0.0,127.0,1.0
0.0,0.0,1.0,0.0
0.0,0.0,0.0,5.0
0.0,0.0,6.0,0.0
0.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0
0.0,0.0,1.0,2.0
